Complexity,Loss,Equation
1,3.1485238e7,"5984.4526"
3,1.7104892e7,"899.8715 / x0"
5,2.9868368e6,"x1 * (3.071282 / x0)"
7,1.1205335e6,"(x1 / (x0 - -0.03623647)) * 4.670686"
9,947559.44,"((x1 + -36.015625) / (x0 - -0.036459424)) * 5.189774"
10,917211.1,"(x1 * 0.78284806) * (log(x1) / (x0 - -0.03630565))"
11,901502.06,"(x1 / (x0 - -0.036200836)) * ((x1 * 0.0026019157) + 3.6049528)"
13,890428.8,"(x1 * (((x1 * 3.6467275e-6) * x1) + 4.024056)) / (x0 - -0.0362746)"
15,880110.2,"(((x1 * x1) * (x1 * 6.587039e-9)) + 4.1252346) * (x1 / (x0 - -0.035964306))"
17,812369.44,"(((x1 + (1.3722132 / (0.15610902 - x0))) * 0.002456755) + 3.596144) * (x1 / (x0 - -0.036236472))"
19,805742.75,"((x1 / (x0 - -0.034854814)) - (x1 * (0.0051791975 / (x0 + -0.15761855)))) * ((x1 * 0.002598181) + 3.4896557)"
