rho_values,xi,mu,sigma,n_blocks
0.000000000000000000e+00,8.057394375805775333e-01,5.441633940459215113e-01,1.351729398789746073e-01,8.000000000000000000e+01
5.000000000000000278e-02,1.070778410729481323e+00,6.454426897827916232e-01,2.562618322229970325e-01,8.000000000000000000e+01
1.000000000000000056e-01,1.209593841209436249e+00,9.352277034348869256e-01,7.834817100615190655e-02,8.000000000000000000e+01
1.499999999999999944e-01,1.202171825832247132e+00,9.683602713580514720e-01,3.803639035032811005e-02,8.000000000000000000e+01
2.000000000000000111e-01,1.187975340705224259e+00,9.909308208665131845e-01,1.077396117102071352e-02,8.000000000000000000e+01
2.500000000000000000e-01,1.944221538332062460e+00,9.996299298300421743e-01,7.194983951262217282e-04,8.000000000000000000e+01
2.999999999999999889e-01,1.466594216676822215e+00,9.998685522696524330e-01,1.927804811230361399e-04,8.000000000000000000e+01
3.499999999999999778e-01,1.257914990358781404e+00,9.993047114454047808e-01,8.746138954502163596e-04,8.000000000000000000e+01
4.000000000000000222e-01,1.341054591247581751e+00,9.981595200520889666e-01,2.468184084245202831e-03,8.000000000000000000e+01
4.500000000000000111e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
5.000000000000000000e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
